FishCode,Pond,AssayClass,TLEN,Sex,Stage,Fgut,Egut,Contents,Fullness,Orthop_num,Orthop_mass,Dermap_num,Dermap_mass,TerrColeo_num,TerrColeo_mass,Hymen_num,Hymen_mass,Lepid_num,Lepid_mass,BivalvTot_num,BivalvTot_mass,GastroTot_num,GastroTot_mass,PelZoopTot_num,PelZoopTot_mass,ClitellaTot_num,ClitellaTot_mass,EphemTot_num,EphemTot_mass,TrichopteraTot_num,Trichoptera_mass,DipteraTot_num,DipteraTot_mass,OdonataTot_num,OdonataTot_mass,HemipteraTot_num,HemipteraTot_mass,Other_num,Other_mass,PUTot_num,PUTot_mass,FishTot_num,FishTot_mass,ContentMass,Date,Season,GonStatus,Sample,GFI,GFI2,CaptureMethod,ParasiteLoad
PU-GSP-18,GSP,G,74,F,22,0.315,0.308,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19/12/2020,Winter,Dormant,1,0.107394906,,,
PU-GSP-19,GSP,G,87,M,22,0.562,0.55,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19/12/2020,Winter,Dormant,1,0.10546669,,,
PU-GSP-2,GSP,G,89,M,22,0.452,0.442,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.088723272,,,
PU-GSP-20,GSP,G,83,F,22,0.49,0.482,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19/12/2020,Winter,Dormant,1,0.077760498,,,
PU-GSP-21,GSP,N,141,M,22,2.334,2.27,Inverts,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19/12/2020,Winter,Dormant,1,0.121758652,,,
PU-GSP-22,GSP,G,107,F,22,,1.053,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19/12/2020,Winter,Dormant,1,,,,
PU-GSP-3,GSP,G,88,F,22,0.491,0.44,Inverts,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.471001108,,,
PU-GSP-4,GSP,G,87,F,22,0.407,0.396,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.093752663,,,
PU-GSP-5,GSP,G,83,M,22,0.441,0.421,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.208420175,,,
PU-GSP-6,GSP,G,80,M,22,0.44,0.421,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.220111214,,,
PU-GSP-7,GSP,G,86,F,22,,0.382,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,,,,
PU-GSP-8,GSP,G,82,F,22,0.383,0.373,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.104613453,,,
PU-GSP-9,GSP,G,78,F,22,0.315,0.307,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.097228974,,,
PU-KSB-1,KSB,N,206,M,22,7.132,7.05,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.047752711,,A,
PU-KSB-10,KSB,N,198,M,22,4.324,4.27,Inverts,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30/12/2020,Winter,Dormant,1,0.0381461,,A,
PU-KSB-2,KSB,N,177,M,22,5.605,5.523,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.067665698,,A,
PU-KSB-3,KSB,N,198,M,22,1.43,1.378,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.031535411,,A,
PU-KSB-4,KSB,N,174,F,22,3.99,3.937,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.050785742,,A,
PU-KSB-5,KSB,N,198,M,22,5.537,5.486,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.033313302,,A,
PU-KSB-6,KSB,N,196,M,22,5.333,5.209,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.087647375,,A,
PU-KSB-7,KSB,N,207,F,22,5.881,5.772,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30/12/2020,Winter,Dormant,1,0.069461261,,A,
PU-KSB-8,KSB,N,194,M,22,7.326,6.818,"1 odonate, 3 caddis larvae",F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30/12/2020,Winter,Dormant,1,0.338055912,,A,
PU-KSB-9,KSB,N,195,M,22,6.776,6.445,"11 damselfly, 1 mayfly, 1 caddis larva",F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,30/12/2020,Winter,Dormant,1,0.202255979,,A,
PU-KSS-1,KSS,G,105,M,22,0.72,0.708,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.07693294,,,
PU-KSS-10,KSS,G,87,M,22,0.508,0.445,Inverts,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.74204947,,,
PU-KSS-11,KSS,G,66,F,22,0.248,0.209,Inverts,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.899239105,,,
PU-KSS-12,KSS,G,103,M,22,0.574,0.568,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.037852501,,,
PU-KSS-13,KSS,G,95,F,22,0.565,0.536,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.239313418,,,
PU-KSS-14,KSS,G,65,F,22,,0.189,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,,,,
PU-KSS-15,KSS,G,63,M,22,0.174,0.145,Inverts,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.865413309,,,
PU-KSS-16,KSS,G,65,M,22,0.171,0.163,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.217983651,,,
PU-KSS-2,KSS,G,108,M,22,0.838,0.825,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.073021401,,,
PU-KSS-3,KSS,N,111,M,22,0.922,0.818,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.534566949,,,
PU-KSS-4,KSS,G,99,F,22,0.653,0.568,Chaoborous,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.602537747,,,
PU-KSS-5,KSS,G,110,F,22,1.034,0.976,Inverts,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.299061565,,,
PU-KSS-6,KSS,G,70,M,22,0.217,0.211,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.115008626,,,
PU-KSS-7,KSS,G,105,M,22,0.801,0.749,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.321583179,,,
PU-KSS-8,KSS,G,72,M,22,0.265,0.256,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.145137881,,,
PU-KSS-9,KSS,G,65,M,22,0.189,0.171,Inverts,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/12/2020,Winter,Dormant,1,0.472689076,,,
PU-PP-1,PP,N,201,F,22,6.695,6.613,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.045171597,,,
PU-PP-10,PP,G,96,M,22,0.525,0.506,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.135869565,,,
PU-PP-11,PP,N,129,F,22,1.571,1.537,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.088949351,,,
PU-PP-12,PP,G,90,M,22,0.741,0.623,"Chironomids, inverts",F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.99729547,,,
PU-PP-13,PP,G,94,M,22,0.504,0.447,Inverts,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.407608696,,,
PU-PP-14,PP,N,130,F,22,2.169,2.039,Inverts,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.292279329,,,
PU-PP-15,PP,G,73,M,22,0.304,0.287,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.274680885,,,
PU-PP-16,PP,G,96,F,22,0.581,0.538,MT,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.31407494,,,
PU-PP-17,PP,G,106,M,22,0.924,0.804,Odonate larvae,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.634383591,,,
PU-PP-2,PP,N,132,M,22,1.853,1.68,Inverts,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.411317166,,,
PU-PP-3,PP,N,144,F,22,2.728,2.478,"Caddisfly, odonate larvae",F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.468559648,,,
PU-PP-4,PP,N,126,M,22,1.87,1.518,Worm,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.880858837,,,
PU-PP-5,PP,N,153,F,22,3.03,2.549,"Worm, inverts",F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,Winter,Dormant,1,0.691101884,,,
