FishCode,Pond,SizeClass,SizeClass_Eco,AssayClass,Sex,Stage,Fgut,Egut,Fullness,Rock_num,Rock_mass,DigestedArthropoda_num,DigestedArthropoda_mass,TerrestrialInvert_num,TerrestrialInvert_num,Decapod_Cambaridae_num,Decapod_Cambaridae_mass,Hemipt_Corixidae_num,Hemipt_Corixidae_mass,Coleo_Dytiscidae_num,Coleo_Dytiscidae_mass,Hemipt_Belostomatidae_num,Hemipt_Belostomatidae_mass,Amphipoda_num,Amphipoda_mass,Bivalvia_num,Bivalvia_mass,Gastropoda_num,Gastropoda_mass,Hydrachnidia_num,Hydrachnidia_mass,PelZoop_CladCop_num,PelZoop_CladCop_mass,Odo_Anisoptera_num,Odo_Anisoptera_mass,Odo_Zygoptera_num,Odo_Zygoptera_mass,Dipt_Chaoboridae_num,Dipt_Chaoboridae_mass,Dipt_Chironomidae_num,Dipt_Chironomidae_mass,Dipt_Tipulidae_num,Dipt_Tipulidae_mass,Dipt_Stratiomyidae_num,Dipt_Stratiomyidae_mass,Trichoptera_num,Trichoptera_mass,Ephemeroptera_num,Ephemeroptera_mass,Clitellata_Hirudinae_num,Clitellata_Hirudinae_mass,Clitellata_Oligochaeta_num,Clitellata_Oligochaeta_mass,Stickle_num,Stickle_mass,FatH_num,FatH_mass,RBD_num,RBD_mass,PU_num,PU_mass,Fish_num,Fish_mass,Vegetation_num,Vegetation_mass,BivalvTot_num,BivalvTot_mass,GastroTot_num,GastroTot_mass,PelZoopTot_num,PelZoopTot_mass,ClitellaTot_num,ClitellaTot_mass,EphemTot_num,EphemTot_mass,TrichopteraTot_num,Trichoptera_mass,DipteraTot_num,DipteraTot_mass,OdonataTot_num,OdonataTot_mass,HemipteraTot_num,HemipteraTot_mass,Other_num,Other_mass,PUTot_num,PUTot_mass,FishTot_Num,FishTot_mass,ContentMass,Date,Sample,GFI,GFI2,CaptureMethod,ParasiteLoad
PU-GSP-3,GSP,I,I,G,F,22,0.491,0.44,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,1,0.471001108,,,
PU-GSP-4,GSP,I,I,G,F,22,0.407,0.396,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,1,0.093752663,,,
PU-GSP-5,GSP,I,S,G,M,22,0.441,0.421,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,1,0.208420175,,,
PU-GSP-6,GSP,I,S,G,M,22,0.44,0.421,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,1,0.220111214,,,
PU-GSP-7,GSP,I,I,G,F,22,,0.382,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,1,,,,
PU-GSP-8,GSP,I,S,G,F,22,0.383,0.373,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,1,0.104613453,,,
PU-GSP-9,GSP,I,S,G,F,22,0.315,0.307,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,1,0.097228974,,,
PU-GSP-10,GSP,I,S,G,F,22,0.365,0.352,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/12/2020,1,0.165752901,,,
PU-GSP-11,GSP,I,B,N,F,22,2.257,2.221,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19/12/2020,1,0.065504567,,,
PU-GSP-12,GSP,I,B,N,F,22,3.227,3.133,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19/12/2020,1,0.161459317,,,
PU-GSP-13,GSP,I,B,N,M,22,2.849,2.566,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19/12/2020,1,,,,
PU-GSP-14,GSP,I,B,N,M,22,1.814,1.795,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19/12/2020,1,0.052862946,,,
PU-GSP-15,GSP,I,B,N,F,22,2.032,1.571,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19/12/2020,1,1.664981219,,,
PU-GSP-16,GSP,B,B,N,M,22,2.415,2.409,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19/12/2020,1,0.008149295,,,
PU-GSP-17,GSP,I,B,N,F,22,1.344,1.3,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19/12/2020,1,0.129013341,,,
PU-GSP-18,GSP,I,S,G,F,22,0.315,0.308,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19/12/2020,1,0.107394906,,,
PU-GSP-19,GSP,I,I,G,M,22,0.562,0.55,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19/12/2020,1,0.10546669,,,
PU-GSP-20,GSP,I,S,G,F,22,0.49,0.482,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19/12/2020,1,0.077760498,,,
PU-GSP-21,GSP,I,B,N,M,22,2.334,2.27,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19/12/2020,1,0.121758652,,,
