FishCode,FishCode2,TLEN,FLEN,RWT,Liver,Gonad,Pond,Sex,Stage,Fgut,Egut,Fullness,Stickle_num,Stickle_mass,FatH_num,FatH_mass,RBD_num,RBD_mass,PU_num,PU_mass,Fish_num,Fish_mass,Vegetation_num,Vegetation_mass,BivalvTot_num,BivalvTot_mass,GastroTot_num,GastroTot_mass,PelZoopTot_num,PelZoopTot_mass,ClitellaTot_num,ClitellaTot_mass,EphemTot_num,EphemTot_mass,TrichopteraTot_num,Trichoptera_mass,DipteraTot_num,DipteraTot_mass,OdonataTot_num,OdonataTot_mass,HemipteraTot_num,HemipteraTot_mass,Other_num,Other_mass,PUTot_num,PUTot_mass,FishTot_Num,FishTot_mass,ContentMass,Date,Sample,GFI,GFI2,CaptureMethod,ParasiteLoad
PU-KSS-55,PU-KSS-55,60,56,3.06,0.059,0.064,KSS,F,23,0.126,0.117,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8/4/2021,7,0.294117647,0.294117647,T,2
PU-PP-66,PU-PP-66,60,56,2.974,0.056,0.042,PP,F,22,0.13,0.117,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.004,0,0,0,0,0.004,21/2/21,4,0.437121722,0.571620713,T,2
PU-GBP-29,PU-GBP-29,59,56,3.069,0.057,0.05,GBP,F,22,0.125,0.118,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,18/01/2021,2,0.228087325,,T,
PU-GSP-104,PU-GSP-104,60,58,3.338,0.094,0.063,GSP,F,22,0.13,0.118,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.004,0,0,0,0,0,0,0,0,0,0,0.004,5/3/2021,5,0.359496705,0.479328939,T,2
PU-KSB-110,PU-KSB-110,57,54,3.036,0.029,0.003,KSB,M,10,0.129,0.118,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.003,0,0,0,0,0,0,0,0,0,0,0.003,23/6/2021,12,0.362318841,0.46113307,T,1
PU-GSP-77,PU-GSP-77,59,56,3.18,0.096,0.054,GSP,F,22,0.126,0.119,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19/2/2021,4,0.220125786,0.220125786,T,2
PU-KSB-70,PU-KSB-70,64,59,3.565,0.087,0.036,KSB,F,22,0.121,0.119,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18/3/2021,6,0.056100982,0.056100982,T,3
PU-KSS-29,PU-KSS-29,61,57,3.355,0.089,0.06,KSS,F,22,0.15,0.119,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21/01/2021,2,0.923994039,,T,
PU-KSS-37,PU-KSS-37,64,61,4.073,0.074,0.004,KSS,M,10,0.156,0.119,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,9/2/2021,3,0.908421311,1.276700221,T,2
PU-GSP-198,PU-GSP-198,52,50,2.344,0.048,0.048,GSP,M,30,0.166,0.12,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,0,0,0,0,0.028,4/5/2021,9,1.962457338,3.156996587,T,1
